step,acc_rate,delta_w,delta_theta,avg_w,avg_cos_theta,S_entropy,S_triangle,action
1000,0.982,0.16105100000000006,0.3221020000000001,0.49628274387874927,0.9957906201588732,-278.2024627575765,2562.174667274463,2005.76974175931
2000,0.9775,0.25937424601000014,0.5187484920200003,0.49651340347696044,0.984762275727255,-276.59636805477646,2479.037824388819,1925.845088279266
3000,0.972,0.41772481694156544,0.8354496338831309,0.4964761717641173,0.9554843338671976,-273.9654973964864,2267.59872102988,1719.6677262369071
4000,0.9595,0.6727499949325609,1.3454999898651219,0.49682529798441494,0.8863804483830755,-268.14433442490895,1795.124037037552,1258.835368187734
5000,0.944,1.0834705943388392,2.1669411886776784,0.49074380713381516,0.7240723201141231,-264.08157795229795,965.30313351803,437.1399776134341
6000,0.9231666666666667,1.7449402268886445,3.489880453777289,0.47504654720213946,0.47166533742774214,-265.022213435415,269.2557879841417,-260.78863888668826
7000,0.8997142857142857,2.8102436848064323,5.6204873696128645,0.4425752119561077,0.2730885719426174,-265.2462712237293,-17.311576521748044,-547.8041189692067
8000,0.8735,4.525925556817609,9.051851113635218,0.414806792710005,0.18038313235343165,-256.5586776556009,-79.05967432762193,-592.1770296388237
9000,0.8446666666666667,7.28904836851033,14.57809673702066,0.38024428651135017,0.11929145486164244,-239.66857715324852,-132.35000330734064,-611.6871576138377
10000,0.8204,11.739085287969576,23.478170575939153,0.3388627527937463,0.08617001378053452,-222.3881189837463,-161.9631693902994,-606.7394073577921
11000,0.8001818181818182,18.905914247127892,37.811828494255785,0.30896480026068573,0.05786808325506893,-204.69135311496964,-154.021570511869,-563.4042767418083
12000,0.7806666666666666,30.448163954141958,60.896327908283915,0.278776408118821,0.041675582957029916,-186.6959532768187,-146.7023318686656,-520.094238422303
13000,0.7646153846153846,49.03707252978518,98.07414505957036,0.24595914368618607,0.030146058702464118,-169.467135643802,-171.14619135471642,-510.0804626423204
14000,0.7513571428571428,78.97469567994435,157.9493913598887,0.21078120604159278,0.010856770135699249,-153.60815934964035,-173.24694965396753,-480.4632683532482
15000,0.7399333333333333,127.18953713950721,254.37907427901442,0.1926756988561765,0.008090081328288415,-139.86271994918596,-191.73444087089854,-471.45988076927046
16000,0.7304375,204.84002145854785,409.6800429170957,0.17101913152280315,0.02712668741507083,-121.94107992079587,-176.0176115590187,-419.89977140061046
17000,0.7240588235294118,329.8969029592061,659.7938059184122,0.14946096732038572,0.024845256637217216,-108.99182522103386,-181.05696849806128,-399.040618940129
18000,0.7167222222222223,531.3022611848312,1062.6045223696624,0.13279820027293507,-0.0018399904158742859,-99.62230758434666,-186.7231714245454,-385.9677865932387
19000,0.7078421052631579,855.6676046607828,1711.3352093215656,0.11557520737608167,-0.008451789592449068,-90.69299141944946,-185.08023741543866,-366.4662202543376
20000,0.69645,1378.0612339822376,2756.122467964475,0.10342239014095783,0.019873198517722967,-84.73489481012408,-174.05163947089176,-343.5214290911399
21000,0.6846190476190476,2219.381397940734,4438.762795881468,0.09401267215483157,0.017925311886310497,-78.3632580427044,-178.29278290451128,-335.0192989899201
22000,0.6723181818181818,3574.3359351975337,7148.671870395067,0.090301476056456,0.025330163469325994,-77.20445559614437,-186.8549625195105,-341.26387371179925
23000,0.6604782608695652,5233.18524272271,10466.37048544542,0.08812735171315372,0.003433916742929152,-75.70413587954947,-187.84366385729328,-339.2519356163922
