beta,alpha,mean_w,std_w,mean_cos,std_cos,susceptibility
2.40,1.00,0.002026,0.001448,-0.011102,0.025833,0.184181
2.42,1.00,0.002842,0.003566,-0.026075,0.043821,0.530005
2.44,1.00,0.004515,0.002435,0.020013,0.023908,0.157760
2.46,1.00,0.002639,0.001893,0.017423,0.023728,0.155396
2.48,1.00,0.004380,0.003312,-0.007884,0.022429,0.138847
2.50,1.00,0.003433,0.004049,-0.001442,0.037592,0.390039
2.52,1.00,0.002475,0.001442,0.007030,0.028461,0.223574
2.54,1.00,0.002433,0.001535,0.016264,0.024786,0.169563
2.56,1.00,0.003285,0.002518,-0.028102,0.040016,0.441955
2.58,1.00,0.003935,0.002008,0.000901,0.024720,0.168660
2.60,1.00,0.002183,0.002238,-0.023099,0.051085,0.720263
2.62,1.00,0.002160,0.001586,0.004214,0.030815,0.262079
2.64,1.00,0.003296,0.001773,-0.002002,0.028019,0.216671
2.66,1.00,0.003135,0.001592,0.017209,0.037247,0.382901
2.68,1.00,0.004335,0.002158,0.020773,0.041414,0.473368
2.70,1.00,0.002681,0.001671,0.005232,0.019433,0.104232
2.72,1.00,0.003124,0.001827,0.005464,0.032311,0.288146
2.74,1.00,0.002896,0.002539,0.002813,0.027698,0.211737
2.76,1.00,0.001998,0.001874,-0.015657,0.022142,0.135309
2.78,1.00,0.003496,0.003167,-0.001958,0.028607,0.225873
2.80,1.00,0.002832,0.002102,-0.005394,0.016975,0.079533
2.82,1.00,0.001709,0.001635,0.006818,0.035004,0.338182
2.84,1.00,0.000818,0.000938,0.006453,0.023150,0.147915
2.86,1.00,0.005643,0.003001,0.000376,0.025049,0.173172
2.88,1.00,0.003600,0.003649,0.010354,0.044877,0.555843
2.90,1.00,0.003210,0.001765,0.000391,0.024581,0.166770
2.92,1.00,0.004694,0.002547,0.004825,0.020232,0.112981
2.94,1.00,0.004241,0.002738,-0.012368,0.014988,0.061999
2.96,1.00,0.002301,0.001849,-0.024822,0.021801,0.131182
2.98,1.00,0.003920,0.002505,0.008724,0.029376,0.238181
3.00,1.00,0.001872,0.002735,-0.005178,0.021368,0.126014
