link_i,link_j,theta
0,1,-2.193667942052028
0,2,1.035013009077361
0,3,1.5779147736312538
0,4,-2.1644540208949783
0,5,0.8734607036967521
0,6,-5.661692903957642
0,7,-2.371921589211236
1,2,-1.8114362412247123
1,3,1.0215103960483516
1,4,-2.3060149015293265
1,5,-2.167515296886172
1,6,1.0718379837536132
1,7,-2.132853099317209
2,3,1.2878892350873425
2,4,0.9121300432962101
2,5,-2.1763607777002028
2,6,0.9139663719647573
2,7,0.9822311357357174
3,4,-2.1656936775654256
3,5,-1.8150747435390757
3,6,-5.27572848710653
3,7,-1.9959036860607173
4,5,10.113484305124008
4,6,8.698018969956896
4,7,6.918542841202499
5,6,20.77556874927647
5,7,-6.113672271396009
6,7,15.356012327035096
